Recipe ID	Recipe Name	Ingredients	Instructions	Total GHG	Energy (g)
195	Chicken Soboro Bowl	Rice: 63.6364, Water: 45, Sugar: 12, Edible oil: 4, Salt: 0, Soy sauce: 18, Flavor seasoning: 1, Egg: 60, Dried seaweed: 0.75, Chicken: 80	['(1) Make minced chicken. Heat a frying pan and add 1/2 teaspoon of oil. Turn off the heat, lower the temperature of the frying pan, add the minced meat and loosen it well with a wooden spatula. Stir over low heat, breaking up any lumps with a wooden spatula. ', '(2) When the minced meat is thoroughly loosened, add the ``Hondashi'' and A and simmer over low heat. When it comes to a boil, simmer for about 3 minutes until a little liquid remains. ', '(3) Make minced eggs. Break the eggs into a bowl, remove the chalaza, and beat the eggs well with a knife, cutting through the whites, and mix in the salt. ', '(4) Heat a frying pan, add 1/2 teaspoon of oil, turn off the heat, lower the temperature of the frying pan, add the beaten eggs from (3), and turn the heat over low heat while stirring constantly with 4 spatulas. Pass through. ', '(5) If the eggs harden too quickly, remove them from the heat and continue cooking while keeping in mind the remaining heat in the frying pan. When it becomes crumbly, quickly remove it to a plate. ', '(6) Pour rice into a bowl, sprinkle with chopped seaweed, and top with minced egg from (5) and minced chicken from (2). ']	655.70	528.63
196	Slowly Sautéed Onion and Minced Meat Keema Curry	Rice: 363.636, Water: 600, Other seasoning: 20, Butter: 12, Other leafy vegetables: 80, Sugar: 3, Edible oil: 12, Onion: 300, Other root vegetables: 16, Salt: 0, Soy sauce: 12, Minced Meat: 300, Flavor seasoning: 7.95, Carrot: 200, Tomato: 200	['(1) Sprinkle 1 teaspoon of ``consomme'' and A on the minced meat. Finely chop the onions. Roughly chop the carrots and celery. Mash the tomatoes. ', '(2) Heat oil and butter in a frying pan over medium heat, and fry the onions and garlic from (1) until golden brown. ', '(3) Add the minced meat and ginger from (1) and stir-fry. When the meat changes color and the fat becomes transparent, add the carrots and celery from (1) and stir-fry further. ', '(4) Add the curry powder and when the aroma becomes sweet, add 2 teaspoons of ``consomme'', B, and the crushed tomatoes from (1) and bring to a boil to remove the scum. ', '(5) Simmer uncovered for at least 30 minutes over low to medium heat, stirring the bottom of the pot halfway through, until it becomes glossy and thick, then season with salt. ', '(6) Pour hot rice into a bowl and serve with (5). ', '*The key to deliciousness is to stir-fry until the fat comes out from the meat. ']	799.51	615.17
197	Meat Sauce Spaghetti	Other seasoning: 0, Edible oil: 6, Onion: 200, Other root vegetables: 10, Salt: 0, Minced Meat: 300, Flavor seasoning: 5.3, Carrot: 100, Tomato: 400, Wine: 30, Spaghetti: 320	['(1) Mix the minced meat with 1/2 teaspoon of salt to season it. Grate the carrots and crush the whole tomatoes. ', '(2) Heat oil in a frying pan, add garlic and heat over low heat until fragrant. Add onions and fry over medium heat until softened. ', '(3) Add the minced meat from (1) and stir-fry. When the meat changes color, add the carrots from (1) and stir-fry quickly. Add white wine, "consommé", and whole tomatoes from (1) and simmer. ', '(4) When it boils, cover it and simmer for 10 minutes over low heat. Remove the lid and simmer for another 10 minutes while stirring from the bottom. Season with salt and pepper. ', '(5) Boil the spaghetti with salt according to the instructions and drain the water. ', '(6) Place the spaghetti from (5) in a bowl and pour over the meat sauce from (4). ']	591.92	523.18
198	Rolled Cabbage	Water: 600, Other seasoning: 0.25, Other leafy vegetables: 0, Edible oil: 4, Onion: 100, Salt: 5, Minced Meat: 200, Flavor seasoning: 5.3, Cabbage: 1200, Egg: 30, Other grains: 9	['(1) Heat oil in a frying pan over medium heat, fry onions until soft, and remove from heat. ', '(2) Make a deep cut around the core of the cabbage and remove the core. ', '(3) Boil water in a pot, add the cabbage from (2), and peel off the outer 4 slices with a knife. Boil for about 5 minutes until soft, then drain in a colander. Do the same with the rest. Lay out the cabbage one by one and scrape off the thick core. ', '(4) Put the minced meat in a bowl and mix well until it becomes sticky. Add the onions and A from (1) and mix well. Divide the seeds into 8 equal parts. ', '(5) Place the seeds from (4) on the cabbage from (3) and cover the seeds with the front of the leaves. Fold the left and right leaves inward and roll tightly to wrap (if the leaves are small, wrap by overlapping several leaves). Make 7 more in the same way. ', '(6) Place the rolls in a pot with the end facing down, add B and bring to a boil over medium heat to remove any scum. Reduce heat to low, cover, and simmer for about 30 minutes. ', '(7) Pour the soup into a bowl and sprinkle with parsley if desired. ', '* Shred the leftover cabbage and use it as an ingredient in coleslaw, miso soup, or soup. ']	402.71	205.97
199	Fluffy Meat Stuffed Bell Pepper	Other seasoning: 0, Edible oil: 12, Onion: 50, Other alcohol: 15, Soy sauce: 9, Other dried food/seaweed: 3, Mayonnaise: 15, Green pepper: 210, Chicken: 150	['(1) Cut the peppers in half lengthwise and remove the seeds. ', '(2) Put the ground chicken and A into a bowl and mix well. Add onions and mix. ', '(3) Sprinkle a thin layer of potato starch on the inside of the peppers from (1) and stuff them evenly with the seeds from (2). ', '(4) Heat oil in a frying pan and fry (3) for about 6 to 7 minutes. ', '(5) Place in a bowl, squeeze out "Pure Select Mayonnaise" and draw a line. ']	288.45	136.16
200	Croquette	Other seasoning: 0, Butter: 12, Edible oil: 0, Onion: 100, Salt: 0, Minced Meat: 100, Flavor seasoning: 2.65, Cabbage: 100, Potato: 450, Sauce: 0, Egg: 60, Other grains: 0, Wheat flour: 0, Milk: 30	['(1) Cut the potatoes into 3cm cubes. Finely chop the onion and shred the cabbage. ', '(2) Put the potatoes in a pot, add some water and boil. Once boiled until a bamboo skewer can be inserted easily, discard the boiling water and heat to evaporate the moisture. Mash while piping hot. ', '(3) Heat the butter in a frying pan over low heat, add the onions from (1) and fry. Once the onions are soft, reduce the heat to medium, add the minced meat and consommé, stir-fry, and let cool. ', '(4) Add potatoes from (2), onions from (3), and A to a bowl, mix well, and form into 6 small pieces. ', '(5) Beat the eggs in a vat. Dust (4) lightly with flour, then coat with beaten egg and then breadcrumbs. ', '(6) Heat oil in a frying pan to medium temperature and fry (5). Fry for about 1 minute, turning with chopsticks, then remove and drain the oil. ', '(7) Arrange in a bowl with the croquettes from (6) and the cabbage from (1), and serve with Worcestershire sauce. ']	531.57	347.52
201	Soboro Radish	Water: 830, Other seasoning: 54, Sugar: 18, Other alcohol: 30, Salt: 0, Soy sauce: 72, Flavor seasoning: 6, Green onion: 0, Other dried food/seaweed: 6, White Radish: 660, Chicken: 160	['(1) Slice the radish into 2cm wide rounds, peel and chamfer, and insert a hidden cross-shaped knife into one side. ', '(2) Put the daikon radish from (1) in a pot with plenty of water and parboil until firm. Discard the water, add A. minced chicken, and simmer while removing the scum until the daikon becomes soft. ', '(3) Add B and continue to simmer until the flavor soaks into the radish. ', '(4) Thicken with the water-soluble potato starch from step C, place in a bowl, and sprinkle with small onions. ']	315.76	169.77
202	Instant Golden Spinach Sausage	Other seasoning: 4, Spinach: 120, Sausage: 40	['(1) Using kitchen scissors, cut the sausage into 1cm lengths, and cut the spinach into 4cm lengths. ', '(2) Put the sausage, spinach, and ``flavor paste'' from (1) into a plastic bag and rub it in. ', ' (3) Remove (2) from the bag and spread it on a heat-resistant plate, cover with plastic wrap and heat in the microwave (600W) for 1 minute and 15 seconds. ']	179.90	73.58
203	Shredded Cabbage Soup Vegetable	Water: 800, Onion: 200, Flavor seasoning: 15.9, Cabbage: 300, Carrot: 175, Potato: 150, Tomato: 120, Broccoli: 120, Sausage: 80	['(1) Cut the cabbage into thin strips. Cut the carrots into 5cm lengths, then cut into 4-6 equal pieces. Cut onions into wedges. Cut the potatoes into bite-sized pieces, and cut the sausage in half diagonally. ', '(2) Put cabbage, carrots, onions, potatoes, sausage, and A from (1) into a pot, heat, bring to a boil, and simmer for 10 minutes. ', '(3) Add the cherry tomatoes and broccoli and simmer for another 5 minutes until the vegetables are soft. ']	348.01	153.57
204	Colorful Vegetable Ratatouille	Edible oil: 6, Onion: 50, Flavor seasoning: 5.3, Green pepper: 150, Pumpkin: 200, Tomato: 200, Sausage: 80	['(1) Cut the zucchini, onion, and bell pepper into bite-sized pieces. Cut the sausage into 1cm wide pieces. ', '(2) Crush the whole tomatoes into bite-sized pieces and add the juice to a heat-resistant container. Add the zucchini, onion, paprika, sausage, olive oil, and "consommé" from (1). Mix well and cover with plastic wrap. Heat in the microwave (600W) for 12 to 15 minutes. ', '(3) Remove from the microwave and mix well. ', '*You can make it even more delicious by adding pepper to your taste. ', '*You can enjoy it even if it is chilled in the refrigerator. ']	630.51	221.83
205	Cream Soup Pasta with Sausage and Spinach	Water: 600, Other seasoning: 0, Salt: 0, Flavor seasoning: 15.9, Cheese: 0, Spinach: 200, Milk: 630, Spaghetti: 300, Sausage: 160	['(1) Cut the sausage diagonally into 1cm wide pieces, and cut the spinach into 5cm long pieces. ', '(2) Put A into a pot, heat it, and when it boils, break the spaghetti in half and add it, then boil for 2 to 3 minutes. ', '(3) Once the spaghetti has blended into the soup, add the sausage and spinach from (1) in that order, simmer until it reaches your desired firmness, and season with salt and pepper. ', '(4) Place in a bowl and sprinkle with grated cheese and black pepper if desired. ']	427.36	526.49
206	Hearty Summer Vegetable Ratatouille	Other seasoning: 0, Edible oil: 72, Onion: 200, Other root vegetables: 10, Salt: 0, Flavor seasoning: 10.6, Eggplant: 160, Green pepper: 300, Pumpkin: 200, Tomato: 400, Sausage: 310	['(1) Cut the eggplant, zucchini, and bell pepper into chunks, and cut the onion into bite-sized pieces. Crush the garlic. ', '(2) Heat the olive oil and garlic from (1) in a pot, and when the aroma comes out, add the eggplant from (1) and stir-fry until softened. ', '(3) Add the zucchini, paprika, and onion from (1) and stir-fry well. Add the canned tomatoes, consommé, and sausage and simmer for about 25 minutes until the vegetables are soft. Season with salt and pepper. ']	778.95	486.82
207	Exquisite Soup with Sausage	Water: 600, Onion: 100, Flavor seasoning: 6, Cabbage: 150, Egg: 120, Miso: 45, Mushroom: 50, Sausage: 160	['(1) Cut the sausage diagonally in half. Cut the cabbage into bite-sized pieces. Slice the onion thinly along the fibers, and separate the shimeji mushrooms into florets. ', '(2) Put water, ``Hondashi'', and onions from (1) into a pot and simmer for about 5 minutes. ', '(3) Add the sausage, cabbage, and shimeji mushrooms from (1) and simmer until the cabbage is tender, then stir in the miso. ', '(4) Add the beaten eggs little by little and turn off the heat. ']	244.47	207.68
208	Consommé Soup with Plenty of Vegetables	Water: 800, Other seasoning: 0, Onion: 100, Salt: 0, Flavor seasoning: 10.6, Cabbage: 200, Carrot: 87.5, Potato: 300, Sausage: 80	['(1) Tear the cabbage leaves into bite-sized pieces and thinly slice the core. Cut the potatoes into bite-sized pieces. Dice the carrots and thinly slice the onions. Cut the sausage in half lengthwise. ', '(2) Put potatoes, carrots, and onions from A and (1) into a pot, heat, cover, and simmer for about 7 to 8 minutes. ', '(3) Add the cabbage and sausage from (1) and simmer for 7 to 8 minutes. Season to taste with salt and pepper. ']	223.47	131.95
209	Napolitan in a Frying Pan	Water: 500, Other seasoning: 0, Butter: 12, Onion: 200, Other root vegetables: 10, Salt: 0, Flavor seasoning: 5.3, Green pepper: 70, Ketchup: 115, Spaghetti: 160, Sausage: 40	['(1) Cut the onion in half lengthwise and thinly slice. Cut the peppers in half lengthwise and into 1cm wide pieces. Cut the sausage into 1cm wide pieces. Garlic is finely chopped. ', '(2) Add butter and garlic from (1) to a frying pan and fry until fragrant. Add the onion from (1), and when it becomes transparent, add the peppers and sausage from (1) and stir-fry. ', '(3) A. Add the "consommé" and when it boils, break the spaghetti in half and add. Cover and simmer over medium heat for 2 to 3 minutes longer than the spaghetti instructions. During cooking, loosen the spaghetti and turn it over several times. ', '(4) Remove the lid and simmer the sauce to evaporate the water. ', '(5) Adjust the taste with salt and pepper. ', '*If the amount of water is low, add more water halfway through. ']	402.06	491.59
210	Gyoza Skin Pizza	Other leafy vegetables: 0, Onion: 50, Other grains: 96, Mayonnaise: 15, Green pepper: 35, Ketchup: 15, Cheese: 0, Sausage: 40	['(1) Thinly slice the onions, and cut the peppers and sausage into rings. ', '(2) Arrange the gyoza wrappers on a frying pan and spread with ``Pure Select Mayonnaise'' and ketchup. Scatter the onions, peppers, and sausage from (1) on top, top with cheese, cover, and heat over low heat. ', '(3) When the vegetables become soft, turn up the heat to high and fry until the skin becomes crispy. ', '(4) Place in a bowl and sprinkle with parsley. ', '*We also recommend making mini pizzas by baking them one by one instead of layering them. (Mini pizzas can also be baked in a toaster oven.)', '*Using more peel will make the dough chewier. Please arrange as you like. ']	225.47	132.33
211	Napolitan Spaghetti	Water: 15, Other seasoning: 0, Edible oil: 12, Onion: 60, Salt: 0, Flavor seasoning: 1.325, Green pepper: 35, Ketchup: 45, Cheese: 0, Spaghetti: 100, Sausage: 60	['(1) Boil the spaghetti in salted boiling water according to the instructions on the label, then drain in a colander. ', '(2) Slice the onion thinly vertically, and cut the sausages diagonally into 5mm wide slices. Remove the stems and seeds from the peppers and cut them into 5mm pieces. ', '(3) Heat oil in a frying pan and fry the onions and peppers from (2) over low heat. Once cooked, add ``consomme'' and tomato ketchup and stir-fry. ', '(4) Add the spaghetti from (1) and stir-fry, adjusting the taste with A. Sprinkle with grated cheese if you like. ']	504.22	719.18
212	Consommé Stir-fry with Sausage and Cabbage	Other seasoning: 0, Other leafy vegetables: 0, Edible oil: 24, Other citrus fruits: 0, Onion: 50, Salt: 0, Flavor seasoning: 5.3, Cabbage: 300, Carrot: 30, Sausage: 140	['(1) Cut the cabbage into chunks, the onion into thin slices, and the carrot into thin strips. Cut the sausage diagonally into 3cm lengths. ', '(2) Heat olive oil in a frying pan, add the onions, carrots, and cabbage from (1) in that order, and quickly fry over high heat. ', '(3) When the vegetables are soft, add the sausage from (1) and stir-fry further, season with ``consommé'' and salt and pepper. ', '(4) Place in a bowl, sprinkle with lemon juice, and add watercress. ']	178.11	187.30
213	Minestrone with Sausage and Hearty Vegetables	Water: 700, Other leafy vegetables: 0, Edible oil: 12, Onion: 100, Other root vegetables: 10, Salt: 0, Flavor seasoning: 10.6, Cabbage: 100, Carrot: 87.5, Potato: 150, Tomato: 200, Sausage: 120	['(1) Cut the sausage in half. Cut the potatoes, carrots, onions, and cabbage into 1cm cubes. ', '(2) Heat the garlic and olive oil in a pot, and stir-fry the vegetables from (1) until fragrant. When the vegetables are soft, add the tomatoes and fry while crushing them, then add A, cover and simmer for 15 minutes. ', '(3) Add the sausage from (1), bring to a quick simmer, and season with salt. ', '(4) Place in a bowl and sprinkle with parsley. ']	313.14	180.71
214	Pot-au-feu with Sausage and Chunky Vegetables	Water: 800, Other seasoning: 0, Onion: 200, Flavor seasoning: 10.6, Cabbage: 400, Potato: 450, Broccoli: 100, Sausage: 140	['(1) Cut the cabbage into 6cm cubes, and cut the potatoes in half. Cut the onion into 6 wedges, leaving the core intact. Divide the broccoli into florets. ', '(2) Add water, consommé, and the cabbage, potatoes, and onions from (1) to a pot, bring to a boil, then simmer for 15 minutes. ', 'Add (3) sausage and (1) broccoli and simmer for 5 minutes. ', '(4) Place in a bowl and add mustard. ', '*Please sprinkle with coarsely ground black pepper to taste. ']	371.10	215.49
215	Easy Microwave Potato Salad	Water: 15, Lettuce: 0, Onion: 25, Flavor seasoning: 2.65, Potato: 300, Mayonnaise: 30, Cucumber: 50, Ham: 30	['(1) Peel the potatoes and cut them into 1cm-wide pieces, put them in a heat-resistant dish, sprinkle with A, cover with plastic wrap, and heat in the microwave (600W) for 6 minutes. Steam for 5 minutes and coarsely mash. ', '(2) Thinly slice the onion and cut the cucumber into small pieces. Cut the ham in half and cut into 1cm wide pieces. ', '(3) Put the onions and cucumbers from (2) in a bowl, sprinkle with a little salt (not listed), and when they soften, squeeze out the water. ', '(4) In a separate bowl, put the potatoes from (1), the ham from (2), and the onions and cucumbers from (3), and add the ``Pure Select Mayonnaise''. ', '(5) Serve in a bowl and add salad greens. ']	254.41	217.00
216	Fried Rice	Rice: 127.273, Other seasoning: 5, Edible oil: 24, Green onion: 50, Carrot: 30, Egg: 120, Ham: 60	['(1) Cut the ham into 1cm cubes and chop the carrots. Beat the eggs in a bowl. ', '(2) Heat oil in a frying pan and add the beaten egg from (1). When it becomes half-cooked, add the rice, ham, carrots, and green onions from (1) and stir-fry well. ', '(3) Add the ``flavor paste'' and stir-fry further. ']	465.03	470.95
217	Cold Broth Somen	Water: 400, Other leafy vegetables: 9, Edible oil: 12, Salt: 2.5, Flavor seasoning: 9, Egg: 30, Dried udon・Soba: 100, Tomato: 43.75, Cucumber: 25, Ham: 15	['(1) Pour water (not listed) into a pot and bring the water to boil for the somen noodles. ', '(2) From the boiling water in (1), take 3 tablespoons (not listed) in a separate container, add ``Hondashi'' and salt, dissolve well, add ice water and mix to make dashi. ', '(3) Slice the cucumber, ham, and ginger, and cut the tomatoes and boiled eggs into wedges. Boil the somen noodles in the water from (1) and drain the water. ', '(4) Place the somen noodles, cucumber, ham, tomato, and boiled egg from (3) in a bowl, and pour in the soup stock from (2). ', '(5) Top with the ginger from (3) and drizzle with olive oil. ', '*You can also enjoy it deliciously by replacing the olive oil (1 tablespoon) with sesame oil (1/2 teaspoon). ']	662.92	540.41
218	Simple Soup with Bean Sprouts and Ham	Water: 300, Other seasoning: 0, Edible oil: 4, Green onion: 0, Dried soup: 3.75, Bean sprout: 100, Ham: 20	['(1) Wash and drain the bean sprouts. Cut the ham in half, then into 5mm pieces. ', '(2) Heat oil in a pan, quickly stir-fry the bean sprouts from (1), add the ham from (1) and stir-fry, add A, bring to a boil, sprinkle with pepper, and turn off the heat. ', '(3) Place in a bowl and sprinkle with small onions. ']	89.46	52.87
219	Bean Sprout Stir-fry	Other seasoning: 0.8, Edible oil: 9, Salt: 2.5, Tofu: 150, Egg: 60, Bean sprout: 200, Green pepper: 105, Ham: 40	['(1) Remove the roots from the bean sprouts, cut the green pepper into 5mm-wide strips, and cut the ham into 1cm-wide strips. ', '(2) Wrap the tofu in kitchen paper, heat it in the microwave (600W) for about 2 minutes, and cut it into 1cm wide strips. ', '(3) Heat sesame oil in a frying pan and stir-fry the tofu from (2). When browned, add the peppers, ham, and bean sprouts from (1) in that order and stir-fry. ', '(4) When the vegetables are soft, adjust the seasoning in step A and stir in the beaten egg. ']	166.16	105.65
220	Spanish Omelette	Other seasoning: 0, Butter: 10, Edible oil: 12, Onion: 200, Salt: 0, Flavor seasoning: 2.65, Potato: 150, Egg: 240, Green pepper: 35, Tomato: 100, Ham: 90	['(1) Peel the potatoes and cut them into 1cm cubes, place them in a heat-resistant container, cover with plastic wrap, and heat in the microwave (600W) for about 1 minute. ', '(2) Cut onions, green peppers, ham, and tomatoes into 1cm cubes in the same way. ', '(3) Heat oil in a frying pan, add potatoes from (1), onions, green peppers, and ham from (2), stir-fry lightly, and sprinkle with salt and pepper. ', '(4) Beat the eggs in a bowl, add the tomatoes and ``consomme'' from (2) and mix to make an egg wash. ', 'Add butter and egg mixture from (4) to the frying pan from (5) and (3) in order, stir until half-cooked, and cover. Once the bottom has hardened, turn it over, remove the lid, and continue baking. ']	305.68	207.21
221	Tortilla (Spanish Omelette)	Water: 10, Other seasoning: 0, Other leafy vegetables: 10, Edible oil: 24, Onion: 100, Salt: 0, Flavor seasoning: 2.65, Potato: 300, Egg: 180, Ham: 30	['(1) Peel the potatoes and cut them into thin slices using a slicer. Also thinly slice the onion. Cut the ham into 1cm cubes and tear the parsley into small pieces. ', '(2) Heat 1 tablespoon of olive oil in a frying pan, add the potatoes and onions from (1), and fry over low heat for about 7 minutes until the potatoes are cooked through, then remove from heat. ', '(3) Beat the eggs in a bowl, add mixed A and mix. Add the ham and parsley from (1) and (2) and mix. ', '(4) Heat 1 tablespoon of olive oil in a frying pan, pour in (3), mix, cover, and bake. ']	331.25	343.81
222	Cabbage, Ham, and Bean Sprout with Sesame Mayo	Cabbage: 100, Other dried food/seaweed: 9, Mayonnaise: 45, Bean sprout: 100, Milk: 22.5, Ham: 30	['(1) Wrap the cabbage in plastic wrap and heat in the microwave (600W) for about 40 seconds to soften it, then cut into thin strips. Heat the bean sprouts in the microwave for about 40 seconds. ', '(2) Cut the ham into thin strips. ', '(3) Mix the cabbage and bean sprouts from (1) and the ham from (2) in A, and place in a bowl. Sprinkle sesame seeds on top. ', '*You may add a little bean sauce if you like. ']	194.15	240.86
223	Eggplant and Tuna Japanese Style Stir-fry	Other seasoning: 9, Edible oil: 8, Soy sauce: 9, Flavor seasoning: 3, Green onion: 0, Other dried food/seaweed: 0, Eggplant: 240, Canned seafood: 70	['(1) Cut the eggplant vertically into 6 equal pieces. Drain the oil from the tuna. ', '(2) Heat oil in a frying pan, add the eggplant from (1) and stir-fry. When the eggplant is cooked, add A and adjust the taste, then add the tuna from (1) and stir-fry. ', '(3) Place in a bowl and sprinkle with small onions and sesame seeds if desired. ']	142.85	85.09
224	Addictive! Infinite Chingensai (Bok Choy)	Other leafy vegetables: 140, Edible oil: 3, Dried soup: 2.5, Canned seafood: 70	['(1) Cut the bok choy into 4cm lengths. Drain the tuna. ', '(2) Place the bok choy and tuna from (1) in a heat-resistant container, cover with plastic wrap, and heat in the microwave (600W) for 2 minutes, then add A and mix. ']	260.89	52.39
225	Addictive! Infinite Maitake Mushroom	Edible oil: 3, Dried soup: 1.25, Other mushroom: 100, Canned seafood: 70	['(1) Break up the Maitake mushrooms into easy-to-eat pieces. Drain the tuna. ', '(2) Put the maitake mushrooms and tuna from (1) into a heat-resistant container, cover with plastic wrap and heat in the microwave (600W) for 2 minutes, then add A and mix. ']	227.84	56.89
226	Addictive! Infinite Long Green Onion	Edible oil: 3, Green onion: 100, Dried soup: 1.25, Canned seafood: 70	['(1) Slice the green onions diagonally. Drain the tuna. ', '(2) Put the green onions and tuna from (1) in a heat-resistant container, cover with plastic wrap and heat in the microwave (600W) for 2 minutes, then add A and mix. ']	191.69	57.49
227	Addictive! Infinite Turnip	Other leafy vegetables: 30, Edible oil: 6, Other root vegetables: 200, Dried soup: 5, Canned seafood: 70	['(1) Peel the turnips and cut them into thin pieces, and cut the turnip stems into small pieces. Drain the oil from the tuna. ', '(2) Add (1) turnips, turnip stems, tuna, and A into a bowl and mix. ']	165.78	71.50
228	Side Salad with Cabbage and Tuna	Edible oil: 3, Cabbage: 150, Dried soup: 2.5, Canned seafood: 70	['(1) Cut the cabbage into bite-sized pieces. Drain the oil from the tuna. ', '(2) Place the cabbage and tuna from (1) in a heat-resistant container, cover with plastic wrap, and heat in the microwave (600W) for 3 minutes, then add A and mix. ']	74.03	62.24
229	Addictive! Infinite Eggplant	Edible oil: 6, Other dried food/seaweed: 3, Dried soup: 5, Eggplant: 280, Canned seafood: 70	['(1) Cut the eggplant into thin strips. Drain the oil from the tuna. ', '(2) Place the eggplant and tuna from (1) in a heat-resistant container, cover with plastic wrap, and heat in the microwave (600W) for 5 minutes, then add A and mix. ', '(3) Place in a bowl and sprinkle with sesame seeds. ']	163.06	78.14
230	Addictive! Infinite Dau Mieu (Snow Pea Shoots)	Other leafy vegetables: 70, Edible oil: 9, Dried soup: 2.5, Canned seafood: 70	['(1) Cut the roots of the bean sprouts, wash them quickly, and cut them in half lengthwise. Drain the oil from the tuna. ', '(2) Add the bean sprouts, tuna, and A from (1) to a bowl. ']	90.30	73.79
231	Addictive! Infinite Carrots	Edible oil: 6, Other dried food/seaweed: 3, Carrot: 200, Dried soup: 5, Canned seafood: 70	['(1) Finely chop the carrots using a thin slicer. Drain the oil from the tuna. ', '(2) Place the carrots from (1) in a heat-resistant container, cover with plastic wrap and heat in the microwave (600W) for 2 minutes, then add the tuna from (1) and A. ', '(3) Place in a bowl and sprinkle with sesame seeds. ']	103.38	83.78
232	Addictive! Infinite Mushrooms	Edible oil: 6, Dried soup: 5, Mushroom: 300, Canned seafood: 70	['(1) Divide the shimeji mushrooms into florets and drain the oil from the tuna. ', '(2) Put the shimeji mushrooms from (1) in a heat-resistant container, cover with plastic wrap, and heat in the microwave (600W) for 1 minute and 30 seconds. Add the tuna from (1) and A and mix. ']	193.76	77.11
233	Addictive! Infinite Bell Pepper	Other seasoning: 0, Edible oil: 3, Dried soup: 2.5, Green pepper: 175, Canned seafood: 70	['(1) Cut the peppers into thin pieces. Drain the tuna. ', '(2) Place the green peppers and tuna from (1) in a heat-resistant container, cover with plastic wrap, and heat in the microwave (600W) for 2 minutes. ', '(3) Add A, mix, and sprinkle with black pepper. ']	292.51	61.91
234	Refreshing! Whole Chicken Somen	Water: 400, Other leafy vegetables: 80, Edible oil: 0, Dried soup: 7.5, Dried udon・Soba: 200, Tomato: 120, Canned seafood: 80	['(1) Drain the water from the tuna. Cut the mizuna into 4cm lengths, and cut the cherry tomatoes in half. ', '(2) Combine A in a bowl to make the soup. ', '(3) Boil somen, wash with cold water, and drain. ', '(4) Place somen noodles from (3) in a bowl, top with mizuna, tuna, and cherry tomatoes from (1), pour soup from (2), and drizzle with sesame oil if desired. ', '*``Whole chicken soup'' can be easily dissolved in water. ']	621.13	397.12
235	Tuna Broth Rice	Rice: 300, Water: 0, Other seasoning: 18, Soy sauce: 18, Flavor seasoning: 8, Carrot: 50, Green bean: 30, Enoki: 80, Canned seafood: 165	['(1) Wash the rice, soak it in water for at least 30 minutes (outside of that time), and drain it in a colander. ', '(2) Drain the oil from the tuna. Cut the roots of the enoki mushrooms and cut them in half lengthwise. Cut the carrots into strips, and cut the green beans diagonally into 1cm lengths. ', '(3) Put the rice and A from (1) into a rice cooker, add water until it reaches the 2 cup mark, then add the tuna, enoki mushrooms, and carrots from (2) and cook (outside of the cooking time). ', '(4) When the rice is cooked, add the green beans from (2) and steam for about 15 minutes (outside of that time), then mix gently. ', '*If you are using 3 cups of rice, use 1.5 times the amount above, and if you are using 4 cups of rice, use twice the amount above. ']	404.42	401.29
236	Grated Carrot	Other seasoning: 12, Edible oil: 8, Soy sauce: 3, Flavor seasoning: 1.5, Carrot: 175, Canned seafood: 40	['(1) Slice the carrots diagonally and into thin strips. Drain the oil from the canned tuna. ', '(2) Heat oil in a frying pan and fry the carrots from (1). ', '(3) Once the oil is evenly coated, add the tuna and A from (1) and season. ', '(4) Boil over high heat until the liquid evaporates. ']	145.80	101.63
237	Miso Simmered Mackerel	Water: 133.333, Other seasoning: 36, Sugar: 9, Other root vegetables: 6, Other alcohol: 30, Soy sauce: 9, Flavor seasoning: 2, Green onion: 100, Miso: 36, Mackerel: 200	['(1) Cut the mackerel into quarters, inserting the knife diagonally. Make two shallow vertical cuts in the skin. Slice the green onions diagonally. ', '(2) Put A into a frying pan and heat over high heat. When it comes to a boil, add the mackerel from (1), skin side up, and simmer for about 1 minute, pouring the broth over it with a spoon. ', '(3) When the mackerel changes color, adjust the heat until the broth bubbles, cover, and simmer for 5 minutes. ', '(4) Dissolve half of the miso in the broth and add, then add the green onions from (1). Cover and simmer for about 2 minutes. Remove the lid, add the remaining miso and simmer until it becomes glossy. ', '*If there is not enough liquid, add water. ', '*By first boiling the soup stock, both the ingredients and the soup become more delicious. ', '*Finally, boiling the mackerel with the broth increases the depth of flavor, gives it a shine, and makes it look delicious. ']	519.98	233.71
238	Consommé Salmon Potato	Water: 30, Other seasoning: 0, Other leafy vegetables: 0, Edible oil: 24, Salt: 1.25, Flavor seasoning: 5.3, Potato: 150, Salmon: 200	['(1) Cut the salmon into quarters and season with salt. Slice the potatoes into 8mm wide rounds, soak in water and drain. ', '(2) Arrange the potatoes from (1) on a heat-resistant plate, cover with plastic wrap, and heat in the microwave (600W) for 3 minutes. ', '(3) Heat olive oil in a frying pan, add the potatoes from (2), and brown the surface. Add the salmon from (1), sprinkle A all over, cover and steam-fry until the salmon is cooked through. ', '(4) Sprinkle with coarsely ground black pepper, stir until evenly coated, place on a plate, and sprinkle with parsley. ']	641.35	273.55
